Date,Year,IBM,AAPL,MSFT,XRX,AMZN,DELL,GOOGL,ADBE,^GSPC,^IXIC
01/06/05,2005,43.55553818,1.124043345,17.7176857,24.25489998,1.654500008,,147.222229,28.61000061,1191.329956,2056.959961
01/07/05,2005,48.99118805,1.302375197,18.26690674,23.23475266,2.257499933,,144.0240173,29.63999939,1234.180054,2184.830078
01/08/05,2005,47.32409668,1.43184948,19.52940369,23.58652687,2.13499999,,143.1431427,27.04000092,1220.329956,2152.090088
08/08/05,2005,,,,,,,,,,
01/09/05,2005,47.2025528,1.637054324,18.40694237,24.00865936,2.265000105,,158.388382,29.85000038,1228.810059,2151.689941
01/10/05,2005,48.17930984,1.758588791,18.38547325,23.86795235,1.993000031,,186.2562561,32.25,1207.01001,2120.300049
01/11/05,2005,52.30997467,2.07097578,19.80194664,24.97605133,2.423000097,,202.6576538,32.61000061,1249.47998,2232.820068
08/11/05,2005,,,,,,,,,,
01/12/05,2005,48.48358536,2.195259333,18.76224518,25.76755142,2.357500076,,207.6376343,36.95999908,1248.290039,2205.320068
01/01/06,2006,47.95273209,2.305800438,20.19721794,25.16951752,2.240999937,,216.5465546,39.72999954,1280.079956,2305.820068
01/02/06,2006,47.32752228,2.09143424,19.27882957,26.20724678,1.871999979,,181.4914856,38.54999924,1280.660034,2281.389893
08/02/06,2006,,,,,,,,,,
01/03/06,2006,48.76497269,1.915240526,19.58893776,26.7349205,1.826500058,,195.1951904,34.95000076,1294.869995,2339.790039
01/04/06,2006,48.68809891,2.149454355,17.38598633,24.69462585,1.760499954,,209.179184,39.20000076,1310.609985,2322.570068
01/05/06,2006,47.24531937,1.825158596,16.30610847,24.14937592,1.730499983,,186.0960999,28.62999916,1270.089966,2178.879883
08/05/06,2006,,,,,,,,,,
01/06/06,2006,45.58832932,1.748816848,16.83946991,24.46596146,1.934000015,,209.8748779,30.36000061,1270.199951,2172.090088
01/07/06,2006,45.93845367,2.075251341,17.38873482,24.78256607,1.344499946,,193.4934998,28.51000023,1276.660034,2091.469971
01/08/06,2006,48.05109024,2.071891546,18.57400703,26.0489521,1.541499972,,189.4544525,32.43999863,1303.819946,2183.75
08/08/06,2006,,,,,,,,,,
01/09/06,2006,48.82068253,2.350689173,19.83928299,27.36810493,1.605999947,,201.1511536,37.45999908,1335.849976,2258.429932
01/10/06,2006,55.01115799,2.475886822,20.82581329,29.90088654,1.904500008,,238.4334259,38.25,1377.939941,2366.709961
01/11/06,2006,54.76688385,2.798962355,21.2973156,29.02144623,2.01699996,,242.647644,40.15999985,1400.630005,2431.77002
08/11/06,2006,,,,,,,,,,
01/12/06,2006,58.07079315,2.590703964,21.73406219,29.81295776,1.97300005,,230.4704742,41.11999893,1418.300049,2415.290039
01/01/07,2007,59.2663002,2.617882013,22.4619236,30.25267601,1.88349998,,251.0010071,38.86999893,1438.23999,2463.929932
01/02/07,2007,55.55428696,2.583681345,20.50397491,30.37578583,1.957000017,,224.9499512,39.25,1406.819946,2416.149902
07/02/07,2007,,,,,,,,,,
01/03/07,2007,56.51309586,2.837131739,20.35595131,29.70741463,1.989500046,,229.3093109,41.70000076,1420.859985,2421.639893
01/04/07,2007,61.27952576,3.047528744,21.86784363,32.53921509,3.066499949,,235.9259186,41.56000137,1482.369995,2525.090088
01/05/07,2007,63.91150665,3.700700045,22.41563988,33.189991,3.457000017,,249.2042084,44.06000137,1530.619995,2604.52002
08/05/07,2007,,,,,,,,,,
01/06/07,2007,63.3477478,3.726655245,21.59428596,32.50403976,3.42050004,,261.6116028,40.15000153,1503.349976,2603.22998
01/07/07,2007,66.59786987,4.023471355,21.24256897,30.70998764,3.927000046,,255.255249,40.29000092,1455.27002,2546.27002
01/08/07,2007,70.23324585,4.228675365,21.05205345,30.1295433,3.995500088,,257.8828735,42.75,1473.98999,2596.360107
08/08/07,2007,,,,,,,,,,
01/09/07,2007,71.15200043,4.686414719,21.66262817,30.49891472,4.65749979,,283.9189148,43.65999985,1526.75,2701.5
01/10/07,2007,70.13726807,5.800380707,27.06725693,30.67480278,4.457499981,,353.8538513,47.90000153,1549.380005,2859.120117
01/11/07,2007,63.52945709,5.564334393,24.70686913,29.68981934,4.527999878,,346.8468323,42.13999939,1481.140015,2660.959961
07/11/07,2007,,,,,,,,,,
